Period,Family,entry_bar,exit_bar,entry_time,exit_time,direction,entry_price,exit_price,duration_bars,pnl,slippage,is_oos,L,S
5,tf,510437,510440,2025-02-25 04:15:00,2025-02-25 04:30:00,-1,87625.0,87637.7,3,-88.49999999998545,25.0,True,276,0.01
5,tf,510495,510502,2025-02-25 09:05:00,2025-02-25 09:40:00,-1,86770.0,86779.2,7,-70.99999999998545,25.0,True,276,0.01
5,tf,510763,510765,2025-02-26 08:25:00,2025-02-26 08:35:00,-1,85820.0,86112.6,2,-1488.000000000029,25.0,True,276,0.01
5,tf,510812,510815,2025-02-26 12:30:00,2025-02-26 12:45:00,-1,85260.0,84239.05,3,5079.749999999985,25.0,True,276,0.01
5,tf,510833,510836,2025-02-26 14:15:00,2025-02-26 14:30:00,-1,83405.0,83006.85,3,1965.749999999971,25.0,True,276,0.01
5,tf,511113,511117,2025-02-27 14:35:00,2025-02-27 14:55:00,-1,83105.0,83875.45,4,-3877.2499999999854,25.0,True,276,0.01
5,tf,511161,511162,2025-02-27 19:35:00,2025-02-27 19:40:00,-1,83045.0,82067.55,1,4862.249999999985,25.0,True,276,0.01
5,tf,511173,511174,2025-02-27 20:35:00,2025-02-27 20:40:00,-1,81255.0,80991.9,1,1290.500000000029,25.0,True,276,0.01
5,tf,511175,511176,2025-02-27 20:45:00,2025-02-27 20:50:00,-1,80190.0,80532.35,1,-1736.750000000029,25.0,True,276,0.01
5,tf,511213,511215,2025-02-27 23:55:00,2025-02-28 00:05:00,-1,79735.0,80380.85,2,-3254.250000000029,25.0,True,276,0.01
5,tf,511224,511227,2025-02-28 00:50:00,2025-02-28 01:05:00,-1,79585.0,80239.45,3,-3297.2499999999854,25.0,True,276,0.01
5,tf,511234,511245,2025-02-28 01:40:00,2025-02-28 02:35:00,-1,79445.0,79567.8,11,-639.0000000000146,25.0,True,276,0.01
5,tf,511248,511250,2025-02-28 02:50:00,2025-02-28 03:00:00,-1,78780.0,79461.75,2,-3433.75,25.0,True,276,0.01
5,tf,511343,511345,2025-02-28 10:45:00,2025-02-28 10:55:00,1,85505.0,84674.7,2,-4176.500000000015,25.0,True,276,0.01
5,tf,511366,511372,2025-02-28 12:40:00,2025-02-28 13:10:00,1,85530.0,84862.8,6,-3360.9999999999854,25.0,True,276,0.01
5,tf,511407,511412,2025-03-02 17:05:00,2025-03-02 17:30:00,1,85720.0,94747.95,5,45114.749999999985,25.0,True,276,0.01
5,tf,511714,511717,2025-03-03 19:40:00,2025-03-03 19:55:00,-1,85485.0,83835.05,3,8224.749999999985,25.0,True,276,0.01
5,tf,511720,511721,2025-03-03 20:10:00,2025-03-03 20:15:00,-1,83005.0,83698.7,1,-3493.4999999999854,25.0,True,276,0.01
5,tf,511856,511858,2025-03-04 07:30:00,2025-03-04 07:40:00,-1,82870.0,83506.8,2,-3209.0000000000146,25.0,True,276,0.01
5,tf,511869,511870,2025-03-04 08:35:00,2025-03-04 08:40:00,-1,82680.0,83198.75,1,-2618.75,25.0,True,276,0.01
5,tf,511879,511880,2025-03-04 09:25:00,2025-03-04 09:30:00,-1,82375.0,82633.15,1,-1315.749999999971,25.0,True,276,0.01
5,tf,511924,511941,2025-03-04 13:10:00,2025-03-04 14:35:00,1,88040.0,88426.8,17,1909.0000000000146,25.0,True,276,0.01
5,tf,511952,511953,2025-03-04 15:30:00,2025-03-04 15:35:00,1,89320.0,88486.2,1,-4194.000000000015,25.0,True,276,0.01
5,tf,512096,512101,2025-03-05 04:30:00,2025-03-05 04:55:00,1,89380.0,90109.8,5,3624.0000000000146,25.0,True,276,0.01
5,tf,512119,512128,2025-03-05 06:25:00,2025-03-05 07:10:00,1,91020.0,90614.7,9,-2051.5000000000146,25.0,True,276,0.01
5,tf,512268,512270,2025-03-05 19:50:00,2025-03-05 20:00:00,1,91530.0,91451.25,2,-418.75,25.0,True,276,0.01
5,tf,512281,512325,2025-03-05 20:55:00,2025-03-06 00:35:00,1,92375.0,92277.9,44,-510.5000000000291,25.0,True,276,0.01
5,tf,512451,512466,2025-03-06 11:05:00,2025-03-06 12:20:00,-1,89215.0,89193.1,15,84.4999999999709,25.0,True,276,0.01
5,tf,512481,512484,2025-03-06 13:35:00,2025-03-06 13:50:00,-1,88310.0,89036.55,3,-3657.7500000000146,25.0,True,276,0.01
5,tf,512527,512528,2025-03-06 18:25:00,2025-03-06 18:30:00,-1,88155.0,87799.3,1,1753.4999999999854,25.0,True,276,0.01
5,tf,512529,512535,2025-03-06 18:35:00,2025-03-06 19:05:00,-1,86925.0,85637.9,6,6410.500000000029,25.0,True,276,0.01
5,tf,512787,512801,2025-03-09 17:05:00,2025-03-09 18:15:00,-1,84790.0,81057.55,14,18637.249999999985,25.0,True,276,0.01
5,tf,512982,512983,2025-03-10 09:20:00,2025-03-10 09:25:00,-1,80255.0,80259.65,1,-48.249999999970896,25.0,True,276,0.01
5,tf,512988,512991,2025-03-10 09:50:00,2025-03-10 10:05:00,-1,79465.0,80113.2,3,-3265.9999999999854,25.0,True,276,0.01
5,tf,513010,513018,2025-03-10 11:40:00,2025-03-10 12:20:00,-1,79320.0,79254.7,8,301.50000000001455,25.0,True,276,0.01
5,tf,513025,513029,2025-03-10 12:55:00,2025-03-10 13:15:00,-1,78470.0,79022.4,4,-2786.999999999971,25.0,True,276,0.01
5,tf,513037,513042,2025-03-10 13:55:00,2025-03-10 14:20:00,-1,78240.0,78305.3,5,-351.50000000001455,25.0,True,276,0.01
5,tf,513092,513098,2025-03-10 19:30:00,2025-03-10 20:00:00,-1,77530.0,77502.35,6,113.2499999999709,25.0,True,276,0.01
5,tf,513305,513331,2025-03-11 13:15:00,2025-03-11 15:25:00,1,82495.0,83011.5,26,2557.5,25.0,True,276,0.01
5,tf,513385,513388,2025-03-11 20:55:00,2025-03-11 21:10:00,1,83850.0,83179.8,3,-3375.9999999999854,25.0,True,276,0.01
5,tf,513513,513514,2025-03-12 07:35:00,2025-03-12 07:40:00,1,84020.0,83803.5,1,-1107.5,25.0,True,276,0.01
5,tf,513826,513857,2025-03-13 10:40:00,2025-03-13 13:15:00,-1,81480.0,80840.4,31,3173.000000000029,25.0,True,276,0.01
5,tf,514071,514083,2025-03-14 08:05:00,2025-03-14 09:05:00,1,83725.0,83288.7,12,-2206.5000000000146,25.0,True,276,0.01
5,tf,514095,514110,2025-03-14 10:05:00,2025-03-14 11:20:00,1,84130.0,84739.05,15,3020.2500000000146,25.0,True,276,0.01
5,tf,514428,514442,2025-03-17 14:50:00,2025-03-17 16:00:00,1,84895.0,84075.75,14,-4121.25,25.0,True,276,0.01
5,tf,514547,514552,2025-03-18 01:45:00,2025-03-18 02:10:00,-1,82535.0,83128.05,5,-2990.2500000000146,25.0,True,276,0.01
5,tf,514626,514643,2025-03-18 08:20:00,2025-03-18 09:45:00,-1,82305.0,81931.2,17,1844.0000000000146,25.0,True,276,0.01
5,tf,514833,514955,2025-03-19 02:35:00,2025-03-19 12:45:00,1,83480.0,84219.3,122,3671.5000000000146,25.0,True,276,0.01
