entry_bar,exit_bar,entry_time,exit_time,direction,entry_price,exit_price,duration_bars,pnl,slippage,is_oos
108617,108636,2019-07-02 14:15:00,2019-07-02 15:50:00,1,10945.0,11008.8,19,293.99999999999636,25.0,True
108663,108677,2019-07-02 19:05:00,2019-07-02 20:15:00,1,11120.0,11449.35,14,1621.7500000000018,25.0,True
108681,108685,2019-07-02 20:35:00,2019-07-02 20:55:00,1,11565.0,11518.65,4,-256.7500000000018,25.0,True
108712,108714,2019-07-02 23:10:00,2019-07-02 23:20:00,1,11635.0,11518.65,2,-606.7500000000018,25.0,True
108725,108726,2019-07-03 00:15:00,2019-07-03 00:20:00,1,11635.0,11587.95,1,-260.24999999999636,25.0,True
108727,108735,2019-07-03 00:25:00,2019-07-03 01:05:00,1,11705.0,11647.35,8,-313.2499999999982,25.0,True
108875,108882,2019-07-03 17:30:00,2019-07-03 18:05:00,1,11765.0,12033.45,7,1317.2500000000036,25.0,True
108887,108896,2019-07-03 18:30:00,2019-07-03 19:15:00,1,12155.0,12107.7,9,-261.49999999999636,25.0,True
109111,109113,2019-07-04 18:10:00,2019-07-04 18:20:00,-1,11340.0,11301.9,2,165.50000000000182,25.0,True
109123,109124,2019-07-04 19:10:00,2019-07-04 19:15:00,-1,11190.0,11231.2,1,-231.00000000000364,25.0,True
109204,109207,2019-07-05 01:55:00,2019-07-05 02:10:00,-1,11120.0,11019.1,3,479.4999999999982,25.0,True
109505,109508,2019-07-08 04:00:00,2019-07-08 04:15:00,1,11760.0,12003.75,3,1193.75,25.0,True
109511,109517,2019-07-08 04:30:00,2019-07-08 05:00:00,1,12125.0,12008.7,6,-606.4999999999964,25.0,True
109527,109542,2019-07-08 05:50:00,2019-07-08 07:05:00,1,12130.0,12097.8,15,-186.00000000000364,25.0,True
109632,109646,2019-07-08 14:35:00,2019-07-08 15:45:00,1,12220.0,12399.75,14,873.75,25.0,True
109650,109651,2019-07-08 17:05:00,2019-07-08 17:10:00,1,12525.0,12543.3,1,66.49999999999636,25.0,True
109695,109700,2019-07-08 20:50:00,2019-07-08 21:15:00,1,12670.0,12874.95,5,999.7500000000036,25.0,True
109713,109718,2019-07-08 22:20:00,2019-07-08 22:45:00,1,13005.0,12914.55,5,-477.25000000000364,25.0,True
109738,109749,2019-07-09 00:25:00,2019-07-09 01:20:00,1,13045.0,12919.5,11,-652.5,25.0,True
109757,109759,2019-07-09 02:00:00,2019-07-09 02:10:00,1,13050.0,12983.85,2,-355.7499999999982,25.0,True
109955,109981,2019-07-09 19:30:00,2019-07-09 21:40:00,1,13115.0,13251.15,26,655.7499999999982,25.0,True
109987,109991,2019-07-09 22:10:00,2019-07-09 22:30:00,1,13385.0,13266.0,4,-620.0,25.0,True
110091,110092,2019-07-10 06:50:00,2019-07-10 06:55:00,1,13400.0,13295.7,1,-546.4999999999964,25.0,True
110113,110114,2019-07-10 08:40:00,2019-07-10 08:45:00,1,13430.0,13345.2,1,-448.99999999999636,25.0,True
110132,110133,2019-07-10 10:15:00,2019-07-10 10:20:00,-1,12450.0,12448.25,1,-16.25,25.0,True
110162,110163,2019-07-10 12:45:00,2019-07-10 12:50:00,-1,12325.0,12342.2,1,-111.00000000000364,25.0,True
110185,110186,2019-07-10 14:40:00,2019-07-10 14:45:00,-1,12220.0,12180.6,1,171.99999999999818,25.0,True
110192,110193,2019-07-10 15:15:00,2019-07-10 15:20:00,-1,12060.0,11968.5,1,432.5,25.0,True
110194,110195,2019-07-10 15:25:00,2019-07-10 15:30:00,-1,11850.0,11877.6,1,-163.00000000000182,25.0,True
110276,110278,2019-07-10 23:15:00,2019-07-10 23:25:00,-1,11760.0,11756.4,2,-6.999999999998181,25.0,True
110279,110280,2019-07-10 23:30:00,2019-07-10 23:35:00,-1,11605.0,11377.65,1,1111.7500000000018,25.0,True
110471,110472,2019-07-11 15:30:00,2019-07-11 15:35:00,-1,11265.0,11266.55,1,-32.74999999999636,25.0,True
110475,110476,2019-07-11 15:50:00,2019-07-11 15:55:00,-1,11155.0,11155.45,1,-27.250000000003638,25.0,True
110751,110754,2019-07-12 15:50:00,2019-07-14 17:05:00,1,11890.0,11195.0,3,-3500.0,25.0,True
110754,110756,2019-07-14 17:05:00,2019-07-14 17:15:00,-1,11195.0,10660.55,2,2647.2500000000036,25.0,True
110763,110768,2019-07-14 17:50:00,2019-07-14 18:15:00,-1,10555.0,10493.9,5,280.5000000000018,25.0,True
110770,110772,2019-07-14 18:25:00,2019-07-14 18:35:00,-1,10390.0,10443.4,2,-291.9999999999982,25.0,True
110774,110777,2019-07-14 18:45:00,2019-07-14 19:00:00,-1,10340.0,10216.15,3,594.2500000000018,25.0,True
110778,110781,2019-07-14 19:05:00,2019-07-14 19:20:00,-1,10115.0,10145.45,3,-177.25000000000364,25.0,True
110783,110784,2019-07-14 19:30:00,2019-07-14 19:35:00,-1,10010.0,10029.3,1,-121.49999999999636,25.0,True
110805,110807,2019-07-14 21:20:00,2019-07-14 21:30:00,-1,9915.0,10014.15,2,-520.7499999999982,25.0,True
111043,111047,2019-07-15 18:10:00,2019-07-15 18:30:00,1,11040.0,11043.45,4,-7.749999999996362,25.0,True
111224,111226,2019-07-16 09:15:00,2019-07-16 09:25:00,-1,10405.0,10509.05,2,-545.2499999999964,25.0,True
111246,111247,2019-07-16 11:05:00,2019-07-16 11:10:00,-1,10405.0,10201.0,1,995.0,25.0,True
